Predicted Entities,flag,username,timestamp
"[{""token"": ""Libretto by "", ""class_or_confidence"": null}, {""token"": ""Marius Petipa"", ""class_or_confidence"": ""person""}, {""token"": "", based on the 1822 novella ``"", ""class_or_confidence"": null}, {""token"": ""Trilby"", ""class_or_confidence"": "" character""}, {""token"": "", ou Le Lutin d'Argail`` by "", ""class_or_confidence"": null}, {""token"": ""Charles Nodier"", ""class_or_confidence"": "" book""}, {""token"": "", first presented by the Ballet of the "", ""class_or_confidence"": null}, {""token"": ""Moscow"", ""class_or_confidence"": "" location""}, {""token"": """", ""class_or_confidence"": null}, {""token"": ""Moscow Imperial Bolshoi Theatre"", ""class_or_confidence"": "" location""}, {""token"": "" on "", ""class_or_confidence"": null}, {""token"": ""January 25/February 6"", ""class_or_confidence"": "" date""}, {""token"": """", ""class_or_confidence"": null}, {""token"": ""February 6"", ""class_or_confidence"": "" date""}, {""token"": "" (Julian/Gregorian calendar dates), "", ""class_or_confidence"": null}, {""token"": ""1870"", ""class_or_confidence"": "" date""}, {""token"": "", in "", ""class_or_confidence"": null}, {""token"": ""Moscow"", ""class_or_confidence"": "" location""}, {""token"": "" with "", ""class_or_confidence"": null}, {""token"": ""Polina Karpakova"", ""class_or_confidence"": "" actor""}, {""token"": "" as "", ""class_or_confidence"": null}, {""token"": ""Trilby"", ""class_or_confidence"": "" character""}, {""token"": "" and "", ""class_or_confidence"": null}, {""token"": ""Ludiia Geiten"", ""class_or_confidence"": "" actor""}, {""token"": "" as "", ""class_or_confidence"": null}, {""token"": ""Miranda"", ""class_or_confidence"": "" character""}, {""token"": "" and restaged by Petipa for the Imperial Ballet at the Imperial Bolshoi Kamenny Theatre on "", ""class_or_confidence"": null}, {""token"": ""January 17\u201329, 1871"", ""class_or_confidence"": "" date""}, {""token"": "" in "", ""class_or_confidence"": null}, {""token"": ""St. Petersburg"", ""class_or_confidence"": "" location""}, {""token"": "" with "", ""class_or_confidence"": null}, {""token"": ""Ad\u00e8le Grantzow"", ""class_or_confidence"": "" actor""}, {""token"": "" as "", ""class_or_confidence"": null}, {""token"": ""Trilby"", ""class_or_confidence"": "" character""}, {""token"": "" and "", ""class_or_confidence"": null}, {""token"": ""Lev Ivanov"", ""class_or_confidence"": "" actor""}, {""token"": "" as "", ""class_or_confidence"": null}, {""token"": ""Count Leopold"", ""class_or_confidence"": "" character""}, {""token"": ""."", ""class_or_confidence"": null}]",,,2024-09-18 14:26:01.762025
"[{""token"": ""\n* "", ""class_or_confidence"": null}, {""token"": ""Data Scientist"", ""class_or_confidence"": "" job title""}, {""token"": "", "", ""class_or_confidence"": null}, {""token"": ""Data Analyst"", ""class_or_confidence"": "" job title""}, {""token"": "", or "", ""class_or_confidence"": null}, {""token"": ""Data Engineer"", ""class_or_confidence"": "" job title""}, {""token"": "" with 1+ years of experience.\n* Experience with technologies such as "", ""class_or_confidence"": null}, {""token"": ""Docker"", ""class_or_confidence"": ""software package""}, {""token"": "", "", ""class_or_confidence"": null}, {""token"": ""Kubernetes"", ""class_or_confidence"": "" software tool""}, {""token"": "", or "", ""class_or_confidence"": null}, {""token"": ""Kubeflow"", ""class_or_confidence"": "" software tool""}, {""token"": ""\n* Machine Learning experience preferred\n* Experience with programming languages such as "", ""class_or_confidence"": null}, {""token"": ""Python"", ""class_or_confidence"": "" programing language""}, {""token"": "", "", ""class_or_confidence"": null}, {""token"": ""C++"", ""class_or_confidence"": "" programing language""}, {""token"": "", or "", ""class_or_confidence"": null}, {""token"": ""SQL"", ""class_or_confidence"": "" programing language""}, {""token"": "" preferred\n* Experience with technologies such as "", ""class_or_confidence"": null}, {""token"": ""Databricks"", ""class_or_confidence"": "" software tool""}, {""token"": "", "", ""class_or_confidence"": null}, {""token"": ""Qlik"", ""class_or_confidence"": "" software tool""}, {""token"": "", "", ""class_or_confidence"": null}, {""token"": ""TensorFlow"", ""class_or_confidence"": "" software tool""}, {""token"": "", "", ""class_or_confidence"": null}, {""token"": ""PyTorch"", ""class_or_confidence"": "" programing language""}, {""token"": "", "", ""class_or_confidence"": null}, {""token"": ""Python"", ""class_or_confidence"": "" programing language""}, {""token"": "", "", ""class_or_confidence"": null}, {""token"": ""Dash"", ""class_or_confidence"": "" software tool""}, {""token"": "", "", ""class_or_confidence"": null}, {""token"": ""Pandas"", ""class_or_confidence"": "" software tool""}, {""token"": "", or "", ""class_or_confidence"": null}, {""token"": ""NumPy"", ""class_or_confidence"": "" programing language""}, {""token"": "" preferred\n* "", ""class_or_confidence"": null}, {""token"": ""BA"", ""class_or_confidence"": "" degree""}, {""token"": "" or "", ""class_or_confidence"": null}, {""token"": ""BS"", ""class_or_confidence"": "" degree""}, {""token"": "" degree\n* Active Secret OR Active Top Secret or Active TS/SCI clearance\n"", ""class_or_confidence"": null}]",,,2024-09-18 14:26:01.875760
"[{""token"": ""However, both models lack other frequent DM symptoms including the "", ""class_or_confidence"": null}, {""token"": ""fibre-type dependent atrophy"", ""class_or_confidence"": "" symptom""}, {""token"": "", "", ""class_or_confidence"": null}, {""token"": ""myotonia"", ""class_or_confidence"": ""disease""}, {""token"": "", "", ""class_or_confidence"": null}, {""token"": ""cataract"", ""class_or_confidence"": "" symptom""}, {""token"": "" and "", ""class_or_confidence"": null}, {""token"": ""male-infertility"", ""class_or_confidence"": ""disease""}, {""token"": ""."", ""class_or_confidence"": null}]",,,2024-09-18 14:26:01.944731
"[{""token"": ""Synergy between signal transduction pathways is obligatory for expression of "", ""class_or_confidence"": null}, {""token"": ""c-fos"", ""class_or_confidence"": ""DNA""}, {""token"": "" in "", ""class_or_confidence"": null}, {""token"": ""B and T cell lines"", ""class_or_confidence"": "" cell line""}, {""token"": "": implication for "", ""class_or_confidence"": null}, {""token"": ""c-fos"", ""class_or_confidence"": "" RNA""}, {""token"": "" control via "", ""class_or_confidence"": null}, {""token"": ""surface immunoglobulin"", ""class_or_confidence"": "" protein""}, {""token"": "" and "", ""class_or_confidence"": null}, {""token"": ""T cell antigen receptors"", ""class_or_confidence"": "" protein""}, {""token"": ""."", ""class_or_confidence"": null}]",,,2024-09-18 14:26:02.025059
"[{""token"": ""The choice of the encoder and decoder modules of dnpg can be quite flexible, for instance long short term memory networks ("", ""class_or_confidence"": null}, {""token"": ""lstm"", ""class_or_confidence"": ""short acronym""}, {""token"": "") or convolutional neural network ("", ""class_or_confidence"": null}, {""token"": ""cnn"", ""class_or_confidence"": ""short acronym""}, {""token"": "")."", ""class_or_confidence"": null}]",,,2024-09-18 14:26:02.104872
"[{""token"": """", ""class_or_confidence"": null}, {""token"": ""Amelia Earhart"", ""class_or_confidence"": ""person""}, {""token"": "" flew her single engine "", ""class_or_confidence"": null}, {""token"": ""Lockheed Vega 5B"", ""class_or_confidence"": "" airplane""}, {""token"": "" across the "", ""class_or_confidence"": null}, {""token"": ""Atlantic"", ""class_or_confidence"": "" location""}, {""token"": """", ""class_or_confidence"": null}, {""token"": ""Atlantic to Paris"", ""class_or_confidence"": "" location""}, {""token"": """", ""class_or_confidence"": null}, {""token"": ""Paris"", ""class_or_confidence"": "" location""}, {""token"": ""."", ""class_or_confidence"": null}]",,,2024-09-18 14:26:02.168050
"[{""token"": """", ""class_or_confidence"": null}, {""token"": ""Feldman"", ""class_or_confidence"": ""person""}, {""token"": "" is a contributor to "", ""class_or_confidence"": null}, {""token"": ""NBC Sports Boston"", ""class_or_confidence"": "" company""}, {""token"": ""'s ``State of the Revs`` and ``Revolution Postgame Live`` programs as well as to 98.5 the SportsHub, "", ""class_or_confidence"": null}, {""token"": ""SiriusXM FC"", ""class_or_confidence"": "" company""}, {""token"": ""'s MLS coverage and to other "", ""class_or_confidence"": null}, {""token"": ""New England"", ""class_or_confidence"": "" location""}, {""token"": "" and national radio outlets and podcasts."", ""class_or_confidence"": null}]",,,2024-09-18 14:26:02.264573
"[{""token"": ""On "", ""class_or_confidence"": null}, {""token"": ""25 July 1948"", ""class_or_confidence"": ""date""}, {""token"": "", on the 39th anniversary of "", ""class_or_confidence"": null}, {""token"": ""Bleriot"", ""class_or_confidence"": "" person""}, {""token"": ""'s crossing of the "", ""class_or_confidence"": null}, {""token"": ""English Channel"", ""class_or_confidence"": "" location""}, {""token"": "", the Type 618 Nene-Viking flew "", ""class_or_confidence"": null}, {""token"": ""Heathrow"", ""class_or_confidence"": "" location""}, {""token"": "" to "", ""class_or_confidence"": null}, {""token"": ""Paris"", ""class_or_confidence"": "" location""}, {""token"": "" ("", ""class_or_confidence"": null}, {""token"": ""Villacoublay"", ""class_or_confidence"": "" location""}, {""token"": "") in the morning carrying letters to "", ""class_or_confidence"": null}, {""token"": ""Bleriot"", ""class_or_confidence"": "" person""}, {""token"": ""'s widow and son (secretary of the "", ""class_or_confidence"": null}, {""token"": ""FAI"", ""class_or_confidence"": "" organization""}, {""token"": ""), who met it at the airport."", ""class_or_confidence"": null}]",,,2024-09-18 14:26:02.374025
"[{""token"": """", ""class_or_confidence"": null}, {""token"": ""Leo & Ian"", ""class_or_confidence"": ""person""}, {""token"": "" won the "", ""class_or_confidence"": null}, {""token"": ""1962"", ""class_or_confidence"": "" date""}, {""token"": "" "", ""class_or_confidence"": null}, {""token"": ""Bathurst Six Hour Classic"", ""class_or_confidence"": "" competition""}, {""token"": "" at "", ""class_or_confidence"": null}, {""token"": ""Mount Panorama"", ""class_or_confidence"": "" location""}, {""token"": "" driving a "", ""class_or_confidence"": null}, {""token"": ""Daimler"", ""class_or_confidence"": "" organization""}, {""token"": "" SP250 sports car, (that year the "", ""class_or_confidence"": null}, {""token"": ""500 mile race for touring cars"", ""class_or_confidence"": "" competition""}, {""token"": "" were held at "", ""class_or_confidence"": null}, {""token"": ""Phillip Island"", ""class_or_confidence"": "" location""}, {""token"": "")"", ""class_or_confidence"": null}]",,,2024-09-18 14:26:02.468080
"[{""token"": ""The Shore Line route of the "", ""class_or_confidence"": null}, {""token"": ""CNS & M"", ""class_or_confidence"": "" organization""}, {""token"": "" until "", ""class_or_confidence"": null}, {""token"": ""1955"", ""class_or_confidence"": "" date""}, {""token"": "" served, from south to north, the "", ""class_or_confidence"": null}, {""token"": ""Illinois"", ""class_or_confidence"": ""location""}, {""token"": "" communities of "", ""class_or_confidence"": null}, {""token"": ""Chicago"", ""class_or_confidence"": ""location""}, {""token"": "", "", ""class_or_confidence"": null}, {""token"": ""Evanston"", ""class_or_confidence"": ""location""}, {""token"": "", "", ""class_or_confidence"": null}, {""token"": ""Wilmette"", ""class_or_confidence"": ""location""}, {""token"": "", "", ""class_or_confidence"": null}, {""token"": ""Kenilworth"", ""class_or_confidence"": ""location""}, {""token"": "", "", ""class_or_confidence"": null}, {""token"": ""Winnetka"", ""class_or_confidence"": ""location""}, {""token"": "", "", ""class_or_confidence"": null}, {""token"": ""Glencoe"", ""class_or_confidence"": ""location""}, {""token"": "", "", ""class_or_confidence"": null}, {""token"": ""Highland Park"", ""class_or_confidence"": ""location""}, {""token"": "", "", ""class_or_confidence"": null}, {""token"": ""Highwood"", ""class_or_confidence"": ""location""}, {""token"": "", "", ""class_or_confidence"": null}, {""token"": ""Fort Sheridan"", ""class_or_confidence"": ""location""}, {""token"": "", "", ""class_or_confidence"": null}, {""token"": ""Lake Forest"", ""class_or_confidence"": ""location""}, {""token"": "", "", ""class_or_confidence"": null}, {""token"": ""Lake Bluff"", ""class_or_confidence"": ""location""}, {""token"": "", North "", ""class_or_confidence"": null}, {""token"": ""Chicago"", ""class_or_confidence"": ""location""}, {""token"": "", "", ""class_or_confidence"": null}, {""token"": ""Waukegan"", ""class_or_confidence"": ""location""}, {""token"": "", "", ""class_or_confidence"": null}, {""token"": ""Zion"", ""class_or_confidence"": ""location""}, {""token"": "", and "", ""class_or_confidence"": null}, {""token"": ""Winthrop Harbor"", ""class_or_confidence"": ""location""}, {""token"": "" as well as "", ""class_or_confidence"": null}, {""token"": ""Kenosha"", ""class_or_confidence"": ""location""}, {""token"": "", "", ""class_or_confidence"": null}, {""token"": ""Racine"", ""class_or_confidence"": ""location""}, {""token"": "", and "", ""class_or_confidence"": null}, {""token"": ""Milwaukee"", ""class_or_confidence"": ""location""}, {""token"": "" (the ``"", ""class_or_confidence"": null}, {""token"": ""KRM"", ""class_or_confidence"": ""location""}, {""token"": ""'') in "", ""class_or_confidence"": null}, {""token"": ""Wisconsin"", ""class_or_confidence"": ""location""}, {""token"": ""."", ""class_or_confidence"": null}]",,,2024-09-18 14:26:02.581325
"[{""token"": ""Comet C/2006 M4 (SWAN) is a non-periodic comet discovered in "", ""class_or_confidence"": null}, {""token"": ""late June 2006"", ""class_or_confidence"": "" date""}, {""token"": "" by "", ""class_or_confidence"": null}, {""token"": ""Robert D. Matson"", ""class_or_confidence"": ""person""}, {""token"": "" of "", ""class_or_confidence"": null}, {""token"": ""Irvine, California"", ""class_or_confidence"": "" location""}, {""token"": "" and "", ""class_or_confidence"": null}, {""token"": ""Michael Mattiazzo"", ""class_or_confidence"": ""person""}, {""token"": "" of "", ""class_or_confidence"": null}, {""token"": ""Adelaide, South Australia"", ""class_or_confidence"": "" location""}, {""token"": "" in publicly available images of the "", ""class_or_confidence"": null}, {""token"": ""Solar and Heliospheric Observatory"", ""class_or_confidence"": "" organization""}, {""token"": "" ("", ""class_or_confidence"": null}, {""token"": ""SOHO"", ""class_or_confidence"": "" organization""}, {""token"": "")."", ""class_or_confidence"": null}]",,,2024-09-18 14:26:02.681929
"[{""token"": ""From "", ""class_or_confidence"": null}, {""token"": ""November 29, 2011"", ""class_or_confidence"": "" date""}, {""token"": "" to "", ""class_or_confidence"": null}, {""token"": ""March 31, 2012"", ""class_or_confidence"": "" date""}, {""token"": "", "", ""class_or_confidence"": null}, {""token"": ""Karimloo"", ""class_or_confidence"": "" actor""}, {""token"": "" returned to ``Les Mis\u00e9rables`` to play the lead role of "", ""class_or_confidence"": null}, {""token"": ""Jean Valjean"", ""class_or_confidence"": ""person""}, {""token"": "" at "", ""class_or_confidence"": null}, {""token"": ""The Queen's Theatre"", ""class_or_confidence"": "" location""}, {""token"": "", "", ""class_or_confidence"": null}, {""token"": ""London"", ""class_or_confidence"": "" location""}, {""token"": "", for which he won the "", ""class_or_confidence"": null}, {""token"": ""2013 Theatregoers' Choice Award"", ""class_or_confidence"": "" award""}, {""token"": "" for "", ""class_or_confidence"": null}, {""token"": ""Best Takeover in a Role"", ""class_or_confidence"": "" award""}, {""token"": ""."", ""class_or_confidence"": null}]",,,2024-09-18 14:26:02.783714
"[{""token"": ""A "", ""class_or_confidence"": null}, {""token"": ""Mexicali health clinic"", ""class_or_confidence"": "" organization""}, {""token"": "" supported by former "", ""class_or_confidence"": null}, {""token"": ""Baja California"", ""class_or_confidence"": ""location""}, {""token"": "" gubernatorial candidate "", ""class_or_confidence"": null}, {""token"": ""Enrique Acosta Fregoso"", ""class_or_confidence"": "" person""}, {""token"": "" ("", ""class_or_confidence"": null}, {""token"": ""PRI"", ""class_or_confidence"": "" organization""}, {""token"": "") was closed on "", ""class_or_confidence"": null}, {""token"": ""June 15"", ""class_or_confidence"": "" date""}, {""token"": "" after selling a supposed COVID-19 ``cure'' for between "", ""class_or_confidence"": null}, {""token"": ""MXN"", ""class_or_confidence"": "" currency""}, {""token"": "" "", ""class_or_confidence"": null}, {""token"": ""$10,000"", ""class_or_confidence"": "" currency""}, {""token"": "" and "", ""class_or_confidence"": null}, {""token"": ""$50,000"", ""class_or_confidence"": "" currency""}, {""token"": ""."", ""class_or_confidence"": null}]",,,2024-09-18 14:26:02.883197
"[{""token"": ""Built in "", ""class_or_confidence"": null}, {""token"": ""1793"", ""class_or_confidence"": ""date""}, {""token"": "", it was the home of "", ""class_or_confidence"": null}, {""token"": ""Mary Young Pickersgill"", ""class_or_confidence"": "" person""}, {""token"": "" when she moved to "", ""class_or_confidence"": null}, {""token"": ""Baltimore"", ""class_or_confidence"": "" location""}, {""token"": "" in "", ""class_or_confidence"": null}, {""token"": ""1806"", ""class_or_confidence"": ""date""}, {""token"": "" and the location where she later sewed the ``"", ""class_or_confidence"": null}, {""token"": ""Star Spangled Banner"", ""class_or_confidence"": "" flag""}, {""token"": ""'', in "", ""class_or_confidence"": null}, {""token"": ""1813"", ""class_or_confidence"": ""date""}, {""token"": "", the huge out-sized garrison flag that flew over "", ""class_or_confidence"": null}, {""token"": ""Fort McHenry"", ""class_or_confidence"": "" location""}, {""token"": "" at "", ""class_or_confidence"": null}, {""token"": ""Whetstone Point"", ""class_or_confidence"": "" location""}, {""token"": "" in "", ""class_or_confidence"": null}, {""token"": ""Baltimore"", ""class_or_confidence"": "" location""}, {""token"": "" Harbor in the summer of "", ""class_or_confidence"": null}, {""token"": ""1814"", ""class_or_confidence"": ""date""}, {""token"": "" during the "", ""class_or_confidence"": null}, {""token"": ""British Royal Navy"", ""class_or_confidence"": "" organization""}, {""token"": "" attack in the Battle of "", ""class_or_confidence"": null}, {""token"": ""Baltimore"", ""class_or_confidence"": "" location""}, {""token"": "" during the "", ""class_or_confidence"": null}, {""token"": ""War of 1812"", ""class_or_confidence"": "" event""}, {""token"": ""."", ""class_or_confidence"": null}]",,,2024-09-18 14:26:03.005481
